8418_in,8450_in,8516_in,8421_in,8422_in,8528_in,8531_in,8508_in,8509_in,8414_in,8415_in,8418_out,8450_out,8516_out,8421_out,8422_out,8528_out,8531_out,8508_out,8509_out,8414_out,8415_out
123704988,21969486,20262426,53549647,38831302,61161357,3428947,4286839,3655044,84584096,48959406,43982784,1448649,14863064,1322747,0,1731696,0,0,462989,512847,13774407
173342135,40092642,17673700,73802726,42602145,59786883,3563743,6095449,4143799,121525214,58970387,42578728,1026957,16307509,2479935,73841,3038176,0,0,1597534,704295,8240463
105133246,34913893,23888537,108955707,84530267,63542360,5236432,5654086,6831530,94212405,41085788,39153625,4504494,21236993,1173685,167114,8946183,13860,249238,784031,4062147,5204384
123351078,18889008,14914941,124535417,37448758,31068092,3492997,2291632,4114784,115672383,51185616,25514474,1439893,13541258,2221606,2282048,3926707,0,0,1122166,830951,9149802
96711507,39389524,15317953,103262152,110355391,35109013,5459126,4956597,4842211,96543177,61653509,35934671,755521,17834241,1225254,2475829,6255527,0,0,1145981,2937727,7892043
74742529,21916314,11418642,70084972,96967831,33780010,5830596,5236488,3182533,131178014,32352471,40952271,917363,18276388,1740610,105635,5631547,0,11126,825708,6164602,6342566
77898344,21476897,19094129,93297299,77856379,51044704,3122114,3900066,5025614,150198163,32898308,66688076,1071820,12824285,1511865,95052,6578424,0,0,1681513,3498975,9466869
68460819,37538958,21645298,66912508,62990259,55947567,3594391,6437725,6090113,113496161,50010888,29700964,2361245,12101095,842010,38917,5659542,0,0,4138604,2942514,68634804
104277295,30508116,42218939,79470380,39041295,41909818,12341753,2289431,6906184,84535374,45371983,36197175,3949396,15814410,1617365,1748069,5174107,15378,0,2283236,11785065,72226554
149044847,38473802,19428344,39053338,42130865,52550554,4337796,5619018,6581323,108589892,41134316,50889252,6760201,43217243,4447323,0,7607587,0,0,1027298,12451742,77571706
180892008,153398373,18988124,83251207,54772106,55301587,5770765,3495986,6618144,110209995,47268277,42531933,10682373,39503264,1730537,240876,11182109,13844,214196,3839437,7466331,59226106
116612888,66175172,20339206,133078153,125316429,67528116,5410710,3771999,4390061,157257797,42431151,41898112,8080974,24936839,802637,1427718,14501882,0,0,1925628,4365419,55269933
62658156,34980185,17154199,46726835,76536928,52080573,2452925,3634783,6444656,149973693,20327389,21335191,3747580,27167508,920858,958236,12531948,0,0,598731,4294913,26341484
88751582,44148972,17538441,101595018,63604349,52265790,3352512,2891672,7479633,158107446,35641558,34865659,6454000,34089774,422733,31583,20396283,0,0,2489149,2649148,24526472
81848020,38038310,15291406,73178583,42922718,33899329,5562549,5567714,4296196,62579701,32311261,18838546,3975654,33372912,828995,54216,19137987,0,0,1447115,2130503,30112706
165103078,55058069,29992308,64369913,120447096,63390386,4799570,7895025,10864172,237575065,38184792,14550935,8756545,39882523,1230689,125086,20483404,0,21935,456606,2624721,30155644
113349369,43399910,53731172,76877359,64013885,38580786,2746129,8609522,11463540,179992045,38078060,12908097,3673984,17776606,2366899,221810,12163023,0,0,898801,2904001,17310356
110965769,42831234,26853911,68235106,82962599,37097704,3933337,10895930,12138225,150076770,38320797,19139539,11766718,33349658,647614,86284,10557715,0,50798,925964,6445329,20211367
133634672,45350465,30962195,77779570,65387168,85029909,12623609,10133294,11798288,136372409,50713380,35662725,9010278,38051014,783102,298344,22485402,1885,18636,399823,5018183,42328830
131531886,39007330,24231070,66796912,65631848,49687709,3505323,6522121,6876672,104267844,48046712,28134558,4850097,22292464,448371,0,20829151,0,4270,364751,3267695,48372223
227960594,37459430,26725074,125745150,48144562,85463810,10537587,16058717,5381930,137065707,30197213,43814550,5564739,31542037,784418,16282,17769133,2806,0,2467767,2248632,56879332
119102791,52448303,19810906,90591028,64443062,51154159,2892208,7162322,8704785,106579683,52376411,34904940,6079118,27355653,1211973,46273,32828333,0,9622,5806,7265643,51029090
138562919,67541555,32284219,96640564,86242170,60188859,3489894,9561327,9439876,132866948,73509464,25143673,5635475,27834894,2382370,35918,13728827,167917,0,176770,4235814,40132078
115480609,85320235,25292510,89381108,59235077,54314787,5052791,11897404,12704677,121356285,47913097,19365264,11247972,23804189,810397,104603,15751436,1142,11416,571,4557199,35044202
109844989,43911094,27061227,68290378,62360336,50365450,2784520,6402025,8683901,108019506,37254731,20523453,7596321,29454161,217171,0,16682495,0,0,0,5520894,25053352
108590690,73810383,31361796,106363055,92344573,61880162,4834715,8213422,16125631,141411309,32841111,22074553,9566982,28968446,1694644,0,13852217,73408,0,417482,2639430,25833821
99316650,36616427,21714506,76016205,66538440,42227064,3790896,7334951,5096614,112024563,58083604,9278040,7193353,30884174,503346,75141,12727230,116665,0,1214287,1775486,21517154
124203117,54387863,21925313,96032642,42574309,46920651,3793645,6488806,9797397,137184379,59002648,11556555,13027396,38105863,4698064,120052,16245682,0,39269,0,8123054,24859700
90328940,32141477,15875496,82386348,64148800,32671161,2135123,5265184,6377828,101884631,39602572,7012818,7607884,31151929,800148,150024,13647706,0,13084,0,4375088,22799342
61080959,17779515,14577053,69221019,56661185,20321608,1730281,4091321,5266983,82535961,33483766,17288088,10891746,36235645,186594,14713,13275262,0,18000,0,4119626,18548207
134482766,37904105,22567528,80883089,81649904,43756726,4091761,7707394,8264410,154254988,64007967,23542822,12052248,36349952,554732,471921,20306330,0,0,7069,9432863,42978502
103587239,27123467,14590424,58715661,89404376,52862096,3007915,7656818,5886274,115329645,75724352,20049956,8039371,22552060,510375,136575,5372409,0,0,33434,8983034,48656659
113909809,59054645,30579238,109390141,143078050,74073073,5318709,15369436,12050602,168282289,111592520,38420788,10166785,34649954,978330,373935,9466817,0,0,5652,2760729,37405722
116783622,49073779,28022009,102064082,136473665,48786204,5356380,7613431,13648327,141491317,97968003,43049382,10383588,23219603,1362467,0,3871191,0,0,595,6250447,45541366
96943034,60919753,24399582,68058349,93822806,56105005,4742851,8524177,10569196,139868904,78681992,28109928,3387715,28524618,1324201,0,8365002,0,25000,1536842,1078657,42942862
94531694,74737363,39955259,81418947,112900799,52236927,4771419,15616664,12228322,113196436,71047239,27088230,6957224,12664817,747034,119512,13559616,0,35555,146573,4964928,31129256
112741688,101134036,47379054,127882900,97189906,39996460,13150242,11686191,10163273,125458550,58636076,24874440,12074672,34647517,233353,1195,29708913,0,0,2255679,4911429,19800976
158172882,100172512,30115201,66260574,79591555,60435337,5624386,17641123,11473050,107756728,56008313,25216571,14706908,38530270,1418339,518137,33120525,562668,3000,901070,7863896,21655582
100945025,58404845,30349796,63710157,39594552,46919463,8884937,10455439,7240832,78689287,44294097,12806310,9471489,35521577,295255,0,31683719,0,0,1295923,2748268,17860914
133607767,37946744,34660733,94148283,51350730,50273693,6570199,10838619,15278629,91799267,39283327,15215048,10629507,50141956,909669,52233,46630147,0,0,905772,3592064,15110040
140760984,58849095,38117191,102362408,101107464,43966094,7585986,11734721,17970729,104097599,63013767,22179173,19978312,34544955,1007037,32286,55156582,0,0,295703,1927197,21501758
111934226,54393377,34900688,41764865,66826000,38183485,5149495,9131707,7727107,159718035,40773465,18900624,13273226,28182935,78480,2000,37130679,2283157,0,1081313,7256616,19861797
155047778,76198441,37215996,97427978,107672420,63480874,7585486,13766667,15638436,164172935,89483968,22199918,9339342,48698921,719173,62744,51810013,29031,0,46879,3110228,32817402
141176115,62159805,37261382,65430009,105619445,51358451,6168027,10072223,10998978,163201829,82428614,23812794,5797783,18820293,1041857,0,17490386,0,0,1486962,21193879,33484695
141603422,124655067,47870781,104689371,105013794,73699914,9528331,10766377,15451067,206095524,120019161,42460275,16442366,54428948,300363,0,29716974,0,6048,1494480,13086416,56423612
138545979,116475500,38408867,82427681,104237291,43506691,4546461,11262840,17671672,185038707,116362385,44504570,11323029,32710831,26284,128956,26494604,0,0,2860707,18611314,58623789
135570461,136577179,38244435,113450089,55918549,54112188,9367921,10721636,20425339,164010637,93701109,24932061,10158334,21256017,539784,787023,31379439,0,93188,909334,6255300,58175541
149316666,116878551,40623917,100583856,74694619,48707331,2747617,9237619,14347187,112776603,84033905,23350023,7374828,33794753,1076765,48726,19219639,0,117347,2044869,11081937,40136254
168528660,137689670,34015276,86062013,144197866,58019395,6002746,11176377,10843347,133368756,77146644,17887822,16056411,36585929,1306529,30499,36736387,0,44867,812919,8939649,22959378
127032133,104225887,21893228,112057637,74267651,39439596,11937632,6826216,3071034,88431103,42305827,15922361,15942795,33145297,1443230,0,27356436,33741,0,207932,5754613,15571876
176428725,95280765,50571084,92396724,102410865,47604017,7509849,10377969,12207032,139660213,38775382,14494405,7894091,36742568,932437,0,39660609,0,0,819637,4939442,22715040
189977012,114542824,56580921,142195575,85202092,39757104,5744369,10955630,12297439,154551372,75380726,16343516,13711801,68186978,363820,24678,57515578,296492,0,284678,4032653,13207231
201736550,74108666,56998763,145901038,158750866,35731090,9783406,10473436,27432041,180119953,88818828,6934944,12464178,34110834,326732,0,63501928,0,0,769257,3500974,22762004
212909090,59653609,42634134,144859259,129090232,42283175,6309019,15871428,22254409,162009862,102749393,21198708,11198788,39339476,1106505,33696,28035605,0,0,1364237,10864175,10900897
231588652,102645402,44055983,113670437,150018995,56273017,11418926,21627422,16344797,315038237,173920153,18095637,10611077,46777775,917271,1728098,82361129,544940,207705,313598,21857855,30325221
215174985,141840880,51700350,119074239,132078083,47226791,6007049,12439898,44394155,204052661,126215168,33878417,18251024,36014873,378751,54793,35662875,0,0,1540402,15874929,93377064
244975145,107374350,76946267,119152541,95425331,43479227,8434016,13329681,28162099,190657132,176820938,24003056,12654042,44410491,256507,111712,34996610,17917,0,810878,13391227,46864327
196524936,108618852,47015635,95167972,179771966,60725905,9790727,12471863,34569012,252251006,143249625,24258978,3580449,38310405,545123,1402,55905493,0,0,1949911,14050616,53219924
200669279,88599643,45879145,115429315,124314723,38858573,19352971,15130030,39215726,185509321,83568330,20012073,10568335,36722066,923939,28049,39587641,0,0,3358687,17381253,33402535
209743187,95053276,33705076,106359645,145396231,41075154,5756167,8023118,16890131,283650027,61832051,19322227,5409744,30482504,489319,0,63233260,51539,0,796310,3223129,13532524
171609888,73678788,38247593,114106588,108513541,47669129,7124491,14172646,13601957,115748568,36895866,22323100,17578838,80446096,3759878,1226865,76664558,0,0,2348932,11425860,22645251
123453131,62368143,48619150,176651177,98731253,48749270,4762136,5628190,18259317,79130484,29153982,13050532,9997707,50345395,713667,0,98445445,0,0,385831,4691670,13403558
185158476,72681946,44676519,96796561,88087382,55386856,10930763,11561053,16397498,110717715,48535502,11820870,13125936,51256272,0,112290,117920036,0,9222,0,2470763,17598016
191893519,62793671,44597173,155643996,94675745,45840973,5555402,10298407,24242351,156421179,47933750,10133940,16919707,75251920,303347,61571,94805201,0,0,7744,7279301,16357215
180951555,87517148,43544603,129088177,124669178,51326738,7879915,10688901,15585025,115794878,57666965,6983084,5846079,27922442,416597,180448,175445747,0,0,106321,5619080,10801775
188036773,52672778,42332966,92808209,61564025,62799914,11409187,12262544,30401594,137316111,82924700,12101740,15900109,63621177,505667,0,214107138,62542,0,2068822,11987040,10087659
191459965,70263185,45078820,110314959,201547179,67611651,6692121,12574479,37191051,205036271,90412675,718715234,15155163,57886578,303217,0,354366078,0,0,811344,17188580,25915203
170413896,63764607,26187238,83383697,89416836,41518017,22114836,10252869,21238440,161447699,74079300,16591819,12693646,40388335,336624,0,399566908,0,0,2243899,13165085,35533805
178395285,63838291,29442250,116141030,112891417,61178987,8994810,9669326,34942598,181842485,64326454,28025639,9529394,75861636,1082046,266687,518113667,0,0,1344147,15081198,29129430
179253075,52524200,35297253,75011578,123911997,55387320,11449904,13286822,28786092,196354489,60402008,24944216,14221948,70325743,185420,20020,582637221,0,0,1722266,6026798,43668252
181026311,77406728,40172669,128113183,81759289,43708108,9055519,14598799,33546862,200582927,73853482,18654135,11137616,21896205,311009,21450,411593884,0,0,303164,8216607,17683992
288587446,112769292,55343184,127592199,198395750,54216935,10727833,22856147,34579676,183777019,102006339,20195938,21973052,74088169,923231,0,506040259,0,0,0,6850586,22907726
204117469,89473000,59852869,112781094,134226788,70459504,10901553,17904972,26975080,171405327,93322337,18196070,24239060,54731769,110398,22165,638962778,0,0,1334701,6035292,16408704
214889151,91998366,61310644,183279690,152468371,59463954,6920568,15634321,25064960,143503172,55974277,7311918,15680085,51849758,1250018,0,439991865,0,0,739975,2472412,17403765
204753457,132157335,72756736,136793386,156823890,33719111,8675597,14700135,41290497,236737751,90923787,5215116,26049279,55914679,150841,199845,523629934,38852,10725,0,6789421,8780429
242882968,99260379,68963823,141454749,145361056,70810283,7841890,17581105,35344466,255678268,55879441,6828075,22836358,68741528,1363302,2145,585817475,0,0,345879,7586420,11812862
212601059,91326577,64505171,147300431,129282242,58653312,7826954,14496890,41096658,196373944,92374552,4958033,9763908,36127548,22224,29180,350762986,13950,91550,920852,16216398,15716282
190615293,69983342,62069099,137131811,160853046,42459886,6606744,19299176,39349420,236807970,64369008,7819206,16588137,53688562,563016,8294,392862720,0,0,0,4864736,11525539
221174506,125922559,67605958,185454772,83803968,57934642,15873952,19179939,32777775,230090669,139592299,15839344,21645416,61509551,30102,0,382670807,0,0,917599,20449993,26579849
214799811,120329762,53327663,125912246,102893385,50285490,8114114,7119810,41620978,171261782,112349900,28146884,20231228,39927027,345363,802757,592353274,0,0,167873,4891074,25353689
258504980,128711352,45845047,162325049,102844053,42792982,30297358,15925641,34683095,190424575,106015962,28465909,11759327,52597041,496238,116400,760027798,0,0,790429,7006544,12844653
238515197,137143670,57347906,143044150,149769114,60287506,7817094,13747038,39868452,222620801,89105050,23042220,6844906,44354052,478608,41471,594410947,0,0,6786,13779863,24645633
248658229,146916148,70165005,144589268,119587266,60495770,18013539,10815673,30928804,179795273,88807507,13490114,10459621,42267075,94666,10643,536962178,0,0,1558751,4731317,14951743
245216255,123599474,70130306,172265525,148495693,57745363,16971849,14114599,44564251,197747836,97867288,15606382,15696932,49953462,368320,1369998,652472244,0,0,88624,1533069,22588166
175709582,75315604,56370049,126234314,102565256,54346987,15658923,18845726,19440160,158234226,63852522,13211506,17011230,42785764,0,32431,559591035,0,0,4568027,558157,14472822
222603880,86626431,82335143,119771049,103414506,71807320,7912983,10270558,38497318,155021659,48516989,11171621,13683480,57017633,26587,83362,537573621,297528,0,197388,2204353,21779589
217792661,95724784,74275133,107197017,107104821,60444682,10064385,15942186,54491521,146036163,75707496,5935777,12991118,61075408,248664,368826,369318042,0,3096,1175690,7662216,21770703
230519106,92535531,64505077,111969502,161924151,70399165,10236647,17934843,34779397,150684551,62821578,11762793,19306545,67452755,780170,44893,262597920,0,0,0,4551802,11958985
215671841,65338688,65186516,152174038,136200989,58999377,10001126,14349907,32641980,171555582,90292722,7301699,5511783,39971153,419064,642428,306759002,0,0,1935361,3158134,18115745
209943102,123417236,61744751,109635205,125710328,46656756,9676746,11678096,31372298,207294446,89401138,12007164,19128886,50944720,575786,0,303087283,121034,1548,10836,7180399,20582260
293631024,148948806,79483767,121781609,167064763,80902214,10755695,12147909,36966691,274740731,156917239,15508957,17425153,66801044,263487,198546,435357272,0,0,411519,17416292,34868408
191652293,99762217,41515347,204695604,214412745,64900520,13966980,6131250,21725486,255524092,126789380,21682506,10196532,57354767,49753,0,393783157,0,0,0,20843221,25380690
218169776,54667414,49315782,201327045,180953049,101317195,13652755,5363249,23179406,265293541,178456302,22953410,15742281,62821629,915654,46754,386715178,0,0,4783591,6400117,37267376
220129650,59036341,34156701,136906606,85199517,51490591,14060156,6063612,15659560,255571462,187958483,18982502,9432349,64489711,652323,132729,407587131,0,0,2398536,6549737,17630584
215840598,100456738,40382987,143276977,201817134,53534165,18028671,16285613,10926812,317517014,205270808,13031033,10295850,54332489,5121967,0,443442350,0,0,1384412,5804445,7881141
263184002,139890150,51885124,220056142,128319067,78042227,13896473,11875883,20185524,218940654,99972241,14250694,12541017,51406702,109875,4835,500765557,0,0,102676,1664381,22410222
162072276,108044955,35093078,173594954,62229707,66622505,18304497,8804066,13005757,159084308,99622851,14088485,20186736,72158636,168890,4395,670363760,0,0,0,4412955,8460745
259066042,120056904,58168059,248577740,111492445,35777322,29636659,14135332,27491467,248661190,85953077,8444217,15350078,86475722,1084141,0,591808612,0,0,1070462,1641858,11203108
387691164,227742857,88035531,274435500,303780114,108787653,24667389,21234844,45298403,387056490,93765189,35024507,36950805,151538335,1557606,990266,775472207,0,0,4393572,3418596,60823398
474452271,254017229,142787362,305420622,402816274,78365346,36765964,31243950,50764866,404891729,271206428,32170173,58075411,162776589,649838,643588,746822347,0,0,0,7085230,133468698
446088719,492977430,106719862,296670952,278352271,56777210,33929497,32686294,47612095,516192063,156015383,17187066,20493470,126500286,762333,256912,865769238,0,0,3888591,21134670,32202426
549597135,257357298,125684112,341224959,238387321,66505062,25821133,23414906,51514731,378440968,128130982,25312626,17079555,132955186,281556,8829,628282010,1588,1740884,833811,6475063,16733727
377395013,319035742,101106388,360089698,288249598,97908061,25900893,34443568,66493596,599261983,167771887,89946188,28868336,145797485,3044629,231247,809552866,0,0,5155220,33951602,81588903
456553349,178577037,97411190,249895598,173587253,99710414,31621045,29143294,54503448,396740786,123317464,55060255,21924180,148534602,2141695,21783,848405630,0,0,421248,17070620,82852039
427234562,267748595,101698738,1168941715,280279012,81208911,36976743,42549762,81186877,501626745,299924922,57420572,18071298,158227948,3019714,358349,911773483,827879,0,3056601,9878347,50287993
314650794,196861813,48979698,631573180,110964355,62583520,24027321,26981768,69647789,605519589,186750560,60441260,35404963,117552060,2145377,9941,936130639,0,0,2258322,2399924,99416238
415310438,277496042,110693121,462463330,244826833,89637462,32340180,33134824,67048823,583947329,278709962,45575994,66161742,133602217,793091,321110,859858300,0,0,3825484,10910114,47357104
339312888,254619650,86264407,612995725,205831603,85620760,27660228,26569359,89734848,416701324,176113972,57815956,36648815,160949037,6130685,534641,970636355,0,0,3609487,2739475,76957290
303538815,144392928,101069546,348283878,221458678,80097561,34817178,24392182,43492554,442817999,102865405,18964545,45113123,161778106,846985,31005,1154329982,0,0,775183,5133624,60245866
431146841,190949344,123774132,435531980,179671931,77375013,34978855,21746988,79233439,1107211940,156554429,34140140,68836010,200589052,4993799,1354702,963830619,122248,0,665078,8104219,89879307
275650453,211826724,108237362,297427242,100622116,72516722,18363245,28962752,84251972,373294634,125527757,27161444,43981165,189653087,1646261,1199228,773661394,0,795566,2776292,5326791,200437685
353811051,248745835,117948148,335959663,246521950,119396790,29817358,25250530,111472698,364580939,124343385,49334685,69931480,180026775,4476277,3555,546176880,0,0,1000063,2275967,105849897
339365235,220309524,149278977,311933229,255205198,141128029,32660089,29391886,85247096,437920596,206745074,8630165,14432571,122634403,1279575,141922,783616293,0,1480683,2521969,11529621,53216140
358126473,212494052,106437319,245816640,213850058,158944898,44792603,44104634,78805388,328644536,286503991,38141721,31674321,187280017,1615895,1560852,745702760,0,1580280,3073409,21943297,87114507
371994531,233258390,93858128,297147443,115058848,105085695,37769896,21266060,109267900,346526483,185224254,48915573,41126147,232738787,1052423,499554,959286297,0,0,1163425,22502723,56446507
380544713,268891821,113022032,320767203,170520202,186682849,43554304,21146475,91759064,400599804,267712607,51121217,29748347,183905032,983551,194714,818998454,0,1450272,4306167,19405499,68166925
528978203,244147445,126526632,399583883,337507525,311504584,37838516,26909754,127237305,430331819,238773911,64080234,39249347,186370063,1331649,417642,880905794,0,0,4405869,9629123,85097220
425901959,236534916,103172996,344043777,248420198,217673321,41426780,28082897,104170406,456729170,265116455,31825481,15281812,149608660,1347289,597440,724318854,0,41773,2967954,7360455,51155739
575096532,321151617,147399234,416415739,373703836,290390939,68108261,27691296,140962892,594949606,237107111,86526821,38749930,185325787,2068847,460678,766417901,0,1577744,4709765,7113150,38532455
430922597,308229327,122342976,423775411,237827840,354817926,29003277,22834333,109024708,353814079,230646443,39376935,32262617,147485110,1445973,1208750,787496457,0,0,3746553,5803814,11965879
445286181,218282620,110912853,374290462,166154262,263457853,32047344,23206563,82610104,426057425,182534114,30932194,46248237,173021176,4731038,269801,917772291,0,1151309,1152671,9514732,34378690
414628505,248270684,182950497,377954305,283961388,236702261,25085894,21878272,109800822,398849616,197380298,56932681,58126345,174059521,4772275,57946,1064238145,0,2336490,3562158,7896970,10035730
454115425,256540147,109635040,418173856,140324684,138570457,43948041,26116734,71870153,425575989,176882440,34308699,46841657,208218806,655566,957215,782446913,0,1143201,2132767,3977610,13574039
431466038,175464783,226063621,543194785,410304763,112650389,36242311,16325500,94300187,488224176,242675956,46215261,42655825,217285523,1782725,1228243,659032117,0,0,422472,17159122,64995352
420062186,184431587,129277744,412394470,217558775,171827573,30763523,21473823,87929523,502893941,303205771,24168749,40112277,179864939,2078539,451020,980849809,0,0,1727051,11965378,10895093
371342653,194853932,138925722,535838289,356752076,175678958,53336966,22794148,78082650,564352702,297000532,29585606,68511150,179617139,1304439,706096,1033881070,0,1088850,4050370,9302501,77602149
539393565,229016249,127597893,368936112,302813531,197878444,33243276,23753552,111795735,513982958,363440664,56859851,43513812,198890591,3737251,135192,1164140804,0,0,4803596,6558155,42617565
435990313,201640337,108146556,584971680,214806358,198408834,67835610,25193207,82221199,468651820,252641334,60155921,38685647,178323969,852653,719527,1164313341,0,1056869,4877645,14584981,63760108
448552641,191607222,101448406,554802223,272364065,272295996,38344222,23171025,119975233,623543196,228088720,83052715,37805011,168138331,1876871,0,1198656504,638913,1052562,2707897,16085511,90947636
408752275,220467086,122973198,348493186,308048445,130925212,35885775,23446312,98570369,401755706,245153889,37834018,24706113,118957101,2900024,236934,1060926052,0,0,4744348,4950585,81477014
474159015,191703145,124692676,455106566,394476390,232851574,33896488,23585366,110918663,532290049,198397957,49347796,32454938,194006143,1160117,4043299,1210895974,0,0,1201818,1401217,65876301
436405980,165984139,118857511,276349341,147795627,287212434,35976544,22384864,70291995,313604782,196098001,24529404,40254382,151530440,2253330,739681,1304732729,0,0,569097,1526667,20755897
453457777,183964376,127725317,476629592,241570025,172339389,36879075,15490518,83801910,376073775,135632606,40708892,51767946,190077054,1510919,249592,1578364823,0,0,2843273,4463488,17705898
396226755,209265685,132923820,430728801,196859314,182279242,47374318,23144664,86816956,341601676,167470971,24787789,45644487,183832530,3227437,1029247,1460462081,0,0,2049202,2171420,55985884
371499673,162091133,125776395,327212229,271349878,72900293,22553448,15148300,69435589,334563582,150617555,23370024,46625453,176142233,2307286,2000,1114598850,0,1107974,1087128,6589539,27355204
